

*******************************************************************************
Ephemeris / WWW_USER Sat Jun  6 17:48:07 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 695700.0, 0.0              {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460398.500000000, A.D. 2024-Mar-29 00:00:00.0000,  9.033321351389678E-01, -1.059613338980020E+00, -4.404751232888194E-02,  1.188700336469489E-02,  9.437309282147165E-03, -1.758769582471894E-04,
2460399.500000000, A.D. 2024-Mar-30 00:00:00.0000,  9.152690526176330E-01, -1.050017362927798E+00, -4.423010287832851E-02,  1.197802950425378E-02,  9.762386217543788E-03, -1.879964782047747E-04,
2460400.500000000, A.D. 2024-Mar-31 00:00:00.0000,  9.272688045955827E-01, -1.040075365776697E+00, -4.442074108730160E-02,  1.201100307790211E-02,  1.012698257986471E-02, -1.918402907760902E-04,
2460401.500000000, A.D. 2024-Apr-01 00:00:00.0000,  9.392689390361768E-01, -1.029755304032115E+00, -4.461084189124850E-02,  1.197775025463301E-02,  1.051580846941045E-02, -1.868773619534014E-04,
2460402.500000000, A.D. 2024-Apr-02 00:00:00.0000,  9.512007772289101E-01, -1.019041276437728E+00, -4.479155600690107E-02,  1.187405529787605E-02,  1.091203420528826E-02, -1.731129943198896E-04,
2460403.500000000, A.D. 2024-Apr-03 00:00:00.0000,  9.629935217609678E-01, -1.007934556487834E+00, -4.495430888590506E-02,  1.169991830880513E-02,  1.129831542089810E-02, -1.510885456152165E-04,
2460404.500000000, A.D. 2024-Apr-04 00:00:00.0000,  9.745784943708137E-01, -9.964535787853516E-01, -4.509132295624461E-02,  1.145955592623971E-02,  1.165784955803990E-02, -1.218484618638316E-04,
2460405.500000000, A.D. 2024-Apr-05 00:00:00.0000,  9.858932452966223E-01, -9.846328800696095E-01, -4.519609130808938E-02,  1.116114493609447E-02,  1.197539934635848E-02, -8.687663249720919E-05,
2460406.500000000, A.D. 2024-Apr-06 00:00:00.0000,  9.968852835661811E-01, -9.725210594777612E-01, -4.526377394060756E-02,  1.081632442467418E-02,  1.223822084984617E-02, -4.800594931997992E-05,
2460407.500000000, A.D. 2024-Apr-07 00:00:00.0000,  1.007515200787761E+00, -9.601778824049935E-01, -4.529149240791961E-02,  1.043948683328959E-02,  1.243683948239502E-02, -7.306585331384131E-06,
2460408.500000000, A.D. 2024-Apr-08 00:00:00.0000,  1.017758997984458E+00, -9.476707045472528E-01, -4.527850489808749E-02,  1.004690113795232E-02,  1.256562667559068E-02,  3.304019640013370E-05,
2460409.500000000, A.D. 2024-Apr-09 00:00:00.0000,  1.027609473610500E+00, -9.350704341633237E-01, -4.522625107029157E-02,  9.655721618064973E-03,  1.262314204069789E-02,  7.087500986752418E-05,
